Albany Medical Center,1719,34,1.98,1.77,2.27
Arnot-Ogden,402,3,0.75,1.72,0.88
Bellevue,220,2,0.91,1.02,1.81
Beth Israel,1197,23,1.92,1.65,2.37
Buffalo General,2004,53,2.64,1.88,2.87
Columbia Presbyterian-NYP,1421,31,2.18,1.68,2.65
Ellis Hospital,1246,24,1.93,1.59,2.47
Erie County,764,8,1.05,1.89,1.13
LIJ Medical Center,897,11,1.23,1.99,1.25
Lenox Hill,1802,37,2.05,2.04,2.05
Maimonides,2008,57,2.84,2.67,2.16
Mary Imogene Bassett Hosp.,79,1,1.27,1.58,1.63
Mercy Hospital,331,10,3.02,1.88,3.28
Millard Fillmore,1342,16,1.19,1.66,1.46
Montefiore - Einstein,728,10,1.37,1.78,1.57
Montefiore - Moses,887,20,2.25,1.65,2.79
Mount Sinai,905,24,2.65,1.74,3.11
NYU Hospitals Center,907,28,3.09,2.48,2.53
New York Hospital - Queens,956,12,1.26,1.75,1.46
North Shore,2237,45,2.01,2.19,1.87
Rochester General,1875,36,1.92,2.63,1.49
St. Elizabeth,1191,32,2.69,1.95,2.81
St. Francis,4739,110,2.32,2.1,2.25
St. Josephs,1829,28,1.53,2.21,1.41
St. Lukes-Roosevelt,649,13,2,2.18,1.87
St. Peters,1708,18,1.05,1.64,1.31
St. Vincents,982,25,2.55,2.13,2.43
Staten Island - North,1337,11,0.82,2.11,0.79
Strong Memorial,1057,28,2.65,2.32,2.32
United Health Services,953,19,1.99,2.32,1.75
Univ. Hosp. - Stony Brook,1673,42,2.51,1.97,2.59
Univ. Hosp. - Upstate,1068,25,2.34,2.44,1.95
Univ. Hosp. of Brooklyn,466,18,3.86,1.84,4.27
Vassar Brothers,637,4,0.63,2,0.64
Weill Cornell-NYP,2137,28,1.31,1.78,1.5
Westchester Medical Center,1918,59,3.08,2.35,2.66
Winthrop Univ. Hosp.,1524,28,1.84,2.28,1.64
